排名,电影名,得分,评分人数,主演和导演,简介
203,初恋这件小事,8.4,8.4,导演:普特鹏·普罗萨卡·那·萨克那卡林PuttipongPromsakaNaSakolnakorn/华森·波克彭...,黑小鸭速效美白记。
204,2001太空漫游,8.8,8.8,导演:斯坦利·库布里克StanleyKubrick主演:凯尔·杜拉KeirDullea/...,现代科幻电影的开山之作，最伟大导演的最伟大影片。
205,可可西里,8.8,8.8,导演:陆川ChuanLu主演:多布杰Duobujie/张磊LeiZhang/亓亮QiL...,坚硬的信仰。
206,魂断蓝桥,8.8,8.8,导演:茂文·勒鲁瓦MervynLeRoy主演:费雯·丽VivienLeigh/罗伯特·...,中国式内在的美国电影。
207,城市之光,9.3,9.3,导演:CharlesChaplin主演:查理·卓别林CharlesChaplin/弗吉尼亚·...,永远的小人物，伟大的卓别林。
208,海洋,9.1,9.1,导演:雅克·贝汉JacquesPerrin/雅克·克鲁奥德JacquesCluzaud主演:...,大海啊，不全是水。
209,牯岭街少年杀人事件,8.8,8.8,导演:杨德昌EdwardYang主演:张震ChenChang/杨静怡LisaYang/张...,弱者送给弱者的一刀。
210,色，戒,8.5,8.5,导演:李安AngLee主演:梁朝伟TonyLeungChiuWai/汤唯WeiTang/...,假戏真情，爱欲深海
211,燃情岁月,8.8,8.8,导演:爱德华·兹威克EdwardZwick主演:布拉德·皮特BradPitt/安东...,传奇，不是每个人都可以拥有。
212,哈利·波特与火焰杯,8.6,8.6,导演:迈克·内威尔MikeNewell主演:丹尼尔·雷德克里夫DanielRadclif...,无简介
213,穿越时空的少女,8.6,8.6,导演:细田守MamoruHosoda主演:仲里依纱RiisaNaka/石田卓也Takuya...,爱上未来的你。 
214,新龙门客栈,8.6,8.6,导演:李惠民RaymondLee主演:张曼玉MaggieCheung/林青霞Brigitte...,嬉笑怒骂，调风动月。
215,源代码,8.5,8.5,导演:邓肯·琼斯DuncanJones主演:杰克·吉伦哈尔JakeGyllenhaal/...,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。
216,青蛇,8.5,8.5,导演:徐克HarkTsui主演:张曼玉MaggieCheung/王祖贤JoeyWang/...,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。
217,无耻混蛋,8.6,8.6,导演:QuentinTarantino主演:布拉德·皮特BradPitt/梅拉尼·罗兰M...,昆汀同学越来越变态了，比北野武还杜琪峰。
218,九品芝麻官,8.5,8.5,导演:王晶JingWong主演:周星驰StephenChow/吴孟达ManTatNg/...,无简介
219,遗愿清单,8.6,8.6,导演:罗伯·莱纳RobReiner主演:杰克·尼科尔森JackNicholson/摩根...,用剩余不多的时间，去燃烧整个生命。
220,阿飞正传,8.5,8.5,导演:王家卫KarWaiWong主演:张国荣LeslieCheung/张曼玉MaggieC...,王家卫是一种风格，张国荣是一个代表。
221,完美陌生人,8.5,8.5,导演:保罗·格诺维瑟PaoloGenovese主演:马可·贾利尼MarcoGiallini...,来啊，互相伤害啊！
222,大佛普拉斯,8.7,8.7,导演:黄信尧Hsin-yaoHuang主演:庄益增YizengZhuang/陈竹昇Chu-sh...,人们可以登上月球，却永远无法探索人们内心的宇宙。
223,血钻,8.7,8.7,导演:爱德华·兹威克EdwardZwick主演:莱昂纳多·迪卡普里奥Leonardo...,每个美丽事物背后都是滴血的现实。
224,谍影重重2,8.7,8.7,导演:保罗·格林格拉斯PaulGreengrass主演:马特·达蒙MattDamon/...,谁说王家卫镜头很晃？
225,地球上的星星,8.9,8.9,导演:阿米尔·汗AamirKhan主演:达席尔·萨法瑞DarsheelSafary/阿...,天使保护事件始末。
226,香水,8.5,8.5,导演:汤姆·提克威TomTykwer主演:本·卫肖BenWhishaw/艾伦·瑞克...,一个单凭体香达到高潮的男人。
227,疯狂的麦克斯4：狂暴之路,8.6,8.6,导演:乔治·米勒GeorgeMiller主演:汤姆·哈迪TomHardy/查理兹·塞...,“多么美好的一天！”轰轰轰砰咚，啪哒哒哒轰隆隆，磅~
228,步履不停,8.8,8.8,导演:是枝裕和HirokazuKoreeda主演:阿部宽HiroshiAbe/夏川结衣Yu...,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。
229,战争之王,8.7,8.7,导演:安德鲁·尼科尔AndrewNiccol主演:尼古拉斯·凯奇NicolasCage/...,做一颗让别人需要你的棋子。
230,彗星来的那一夜,8.5,8.5,导演:詹姆斯·沃德·布柯特JamesWardByrkit主演:艾米丽·芭尔多尼Em...,小成本大魅力。
231,谍影重重,8.6,8.6,导演:道格·里曼DougLiman主演:马特·达蒙MattDamon/弗兰卡·波坦...,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。
232,波西米亚狂想曲,8.7,8.7,导演:布莱恩·辛格BryanSinger主演:拉米·马雷克RamiMalek/本·哈...,无简介
233,猜火车,8.5,8.5,导演:丹尼·博伊尔DannyBoyle主演:伊万·麦克格雷格EwanMcGregor/...,不可猜的青春迷笛。 
234,朗读者,8.6,8.6,导演:史蒂芬·戴德利StephenDaldry主演:凯特·温丝莱特KateWinslet...,当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 
235,浪潮,8.7,8.7,导演:丹尼斯·甘塞尔DennisGansel主演:尤尔根·沃格尔JürgenVogel...,世界离独裁只有五天。
236,东京物语,9.2,9.2,导演:小津安二郎YasujirôOzu主演:笠智众ChishûRyû/原节...,东京那么大，如果有一天走失了，恐怕一辈子不能再相见。
237,再次出发之纽约遇见你,8.6,8.6,导演:约翰·卡尼JohnCarney主演:凯拉·奈特莉KeiraKnightley/马克...,爱我就给我看你的播放列表。
238,小萝莉的猴神大叔,8.4,8.4,导演:卡比尔·汗KabirKhan主演:萨尔曼·汗SalmanKhan/哈莎莉·马...,宝莱坞的萝莉与大叔。
239,驴得水,8.3,8.3,导演:周申ShenZhou/刘露LuLiu主演:任素汐SuxiRen/大力DaLi...,过去的如果就让它过去了，未来只会越来越糟！
240,聚焦,8.8,8.8,导演:托马斯·麦卡锡ThomasMcCarthy主演:马克·鲁弗洛MarkRuffalo/...,新闻人的理性求真。
241,追随,8.9,8.9,导演:克里斯托弗·诺兰ChristopherNolan主演:杰里米·西奥伯德Jeremy...,诺兰的牛逼来源于内心散发出的恐惧。
242,千钧一发,8.8,8.8,导演:安德鲁·尼科尔AndrewNiccol主演:伊桑·霍克EthanHawke/乌玛...,一部能引人思考的科幻励志片。
243,我爱你,9.0,9.0,导演:秋昌民Chang-minChoo主演:宋在河Jae-hoSong/李顺载Soon-jae...,你要相信，这世上真的有爱存在，不管在什么年纪 
244,一次别离,8.7,8.7,导演:阿斯哈·法哈蒂AsgharFarhadi主演:佩曼·莫阿迪PeymanMoadi/...,只有有信仰的人才能说出事实真相。
245,黑鹰坠落,8.7,8.7,导演:雷德利·斯科特RidleyScott主演:乔什·哈奈特JoshHartnett/...,还原真实而残酷的战争。
246,黑客帝国2：重装上阵,8.6,8.6,导演:AndyWachowski/LarryWachowski主演:基努·里维斯KeanuReeves...,一个精彩的世界观正在缓缓建立。
247,发条橙,8.6,8.6,导演:StanleyKubrick主演:MalcolmMcDowell/PatrickMagee/Michael...,我完全康复了。
248,网络谜踪,8.6,8.6,导演:阿尼什·查甘蒂AneeshChaganty主演:约翰·赵JohnCho/米切尔...,无简介
249,四个春天,8.9,8.9,导演:陆庆屹LuQingYi主演:陆运坤YunkunLu/李桂贤GuixianLi/...,来也匆匆去也匆匆，就这样风雨兼程。
250,E.T. 外星人,8.6,8.6,导演:史蒂文·斯皮尔伯格StevenSpielberg主演:亨利·托马斯HenryTho...,生病的E.T.皮肤的颜色就像柿子饼。
